week,lists,chal,chal_field,chal_share,top8,top8_field,top8_share,top16,trophies,league_field,trophy_share
2026-05-18,19,12,288,0.041666666666666664,3,72,0.041666666666666664,6,7,434,0.016129032258064516
2026-05-25,19,8,352,0.022727272727272728,1,88,0.011363636363636364,5,11,479,0.022964509394572025
2026-06-01,35,17,384,0.044270833333333336,5,96,0.052083333333333336,7,18,511,0.03522504892367906
2026-06-08,27,10,384,0.026041666666666668,2,96,0.020833333333333332,3,17,484,0.03512396694214876
2026-06-15,21,11,352,0.03125,3,88,0.03409090909090909,7,10,462,0.021645021645021644
2026-06-22,19,9,384,0.0234375,1,96,0.010416666666666666,2,10,393,0.02544529262086514
2026-06-29,19,7,352,0.019886363636363636,1,88,0.011363636363636364,5,12,428,0.028037383177570093
2026-07-06,9,2,416,0.004807692307692308,0,104,0.0,2,7,418,0.01674641148325359
2026-07-13,11,4,448,0.008928571428571428,1,112,0.008928571428571428,2,7,410,0.01707317073170732
2026-07-20,15,10,512,0.01953125,0,128,0.0,4,5,393,0.01272264631043257
2026-07-27,15,7,384,0.018229166666666668,3,96,0.03125,6,8,439,0.018223234624145785
2026-08-03,24,11,352,0.03125,2,88,0.022727272727272728,7,13,380,0.034210526315789476
2026-08-10,51,27,416,0.06490384615384616,8,104,0.07692307692307693,18,24,407,0.05896805896805897
2026-08-17,66,34,384,0.08854166666666667,10,96,0.10416666666666667,21,32,386,0.08290155440414508
2026-08-24,70,36,480,0.075,12,120,0.1,22,34,379,0.08970976253298153
2026-08-31,72,44,448,0.09821428571428571,17,112,0.15178571428571427,26,28,378,0.07407407407407407
2026-09-07,57,28,412,0.06796116504854369,10,104,0.09615384615384616,17,29,418,0.06937799043062201
