week,lists,chal,chal_field,chal_share,top8,top8_field,top8_share,top16,trophies,league_field,trophy_share
2026-05-18,0,0,288,0.0,0,72,0.0,0,0,434,0.0
2026-05-25,0,0,352,0.0,0,88,0.0,0,0,479,0.0
2026-06-01,0,0,384,0.0,0,96,0.0,0,0,511,0.0
2026-06-08,0,0,384,0.0,0,96,0.0,0,0,484,0.0
2026-06-15,0,0,352,0.0,0,88,0.0,0,0,462,0.0
2026-06-22,3,1,384,0.0026041666666666665,1,96,0.010416666666666666,1,2,393,0.005089058524173028
2026-06-29,3,1,352,0.002840909090909091,0,88,0.0,1,2,428,0.004672897196261682
2026-07-06,4,2,416,0.004807692307692308,0,104,0.0,0,2,418,0.004784688995215311
2026-07-13,3,0,448,0.0,0,112,0.0,0,3,410,0.007317073170731708
2026-07-20,11,6,512,0.01171875,2,128,0.015625,4,5,393,0.01272264631043257
2026-07-27,12,4,384,0.010416666666666666,0,96,0.0,2,8,439,0.018223234624145785
2026-08-03,11,2,352,0.005681818181818182,0,88,0.0,1,9,380,0.02368421052631579
2026-08-10,7,3,416,0.007211538461538462,0,104,0.0,0,4,404,0.009900990099009901
2026-08-17,1,1,384,0.0026041666666666665,0,96,0.0,0,0,340,0.0
2026-08-24,5,5,480,0.010416666666666666,0,120,0.0,1,0,348,0.0
2026-08-31,14,8,448,0.017857142857142856,1,112,0.008928571428571428,3,6,378,0.015873015873015872
